t,channel,post_id,type,value,modifier,tags,lat,lon,text,source
2026-07-01T00:31:03+00:00,kpszsu,66952,область,Сумська,,КАБ,50.9077,34.7981,КАБи на Сумщині,https://t.me/kpszsu/66952
2026-07-01T00:47:38+00:00,kpszsu,66954,область,Донецька,,КАБ,48.0159,37.8029,КАБи на Донеччині,https://t.me/kpszsu/66954
2026-07-01T01:25:54+00:00,kpszsu,66956,область,Запорізька,,КАБ,47.8388,35.1396,КАБи на Запоріжжя,https://t.me/kpszsu/66956
2026-07-01T02:08:05+00:00,kpszsu,66957,область,Запорізька,,КАБ,47.8388,35.1396,Пуски КАБ на Запоріжжя та Донеччину,https://t.me/kpszsu/66957
2026-07-01T02:08:05+00:00,kpszsu,66957,область,Донецька,,КАБ,48.0159,37.8029,Пуски КАБ на Запоріжжя та Донеччину,https://t.me/kpszsu/66957
2026-07-01T06:01:07+00:00,kpszsu,66969,область,Сумська,північ,КАБ,50.9077,34.7981,Пуски КАБ на півночі Сумщини.,https://t.me/kpszsu/66969
2026-07-01T06:20:24+00:00,kpszsu,66970,область,Харківська,північ,КАБ,49.9935,36.2304,Пуски КАБ на півночі Харківщини.,https://t.me/kpszsu/66970
2026-07-01T08:23:07+00:00,kpszsu,66975,область,Донецька,,КАБ,48.0159,37.8029,КАБи на Донеччину!,https://t.me/kpszsu/66975
2026-07-01T11:58:24+00:00,kpszsu,66984,область,Харківська,північ,БпЛА|КАБ,49.9935,36.2304,КАБи на північ Харківщини!,https://t.me/kpszsu/66984
2026-07-01T13:24:19+00:00,kpszsu,66990,область,Донецька,,КАБ,48.0159,37.8029,КАБи на Донеччину!,https://t.me/kpszsu/66990
2026-07-01T18:00:08+00:00,kpszsu,67005,область,Харківська,північ,КАБ,49.9935,36.2304,КАБи на північ Харківщини!,https://t.me/kpszsu/67005
2026-07-02T01:02:03+00:00,kpszsu,67071,область,Сумська,,КАБ,50.9077,34.7981,Пуски КАБ на Сумщину та Донеччину.,https://t.me/kpszsu/67071
2026-07-02T01:02:03+00:00,kpszsu,67071,область,Донецька,,КАБ,48.0159,37.8029,Пуски КАБ на Сумщину та Донеччину.,https://t.me/kpszsu/67071
2026-07-02T06:03:42+00:00,kpszsu,67091,область,Харківська,схід,КАБ,49.9935,36.2304,Пуски КАБ на Харківщину зі сходу.,https://t.me/kpszsu/67091
2026-07-02T07:04:50+00:00,kpszsu,67098,область,Запорізька,,КАБ,47.8388,35.1396,"Пуски КАБ на Запоріжжя, Сумщину, Донеччину.",https://t.me/kpszsu/67098
2026-07-02T07:04:50+00:00,kpszsu,67098,область,Сумська,,КАБ,50.9077,34.7981,"Пуски КАБ на Запоріжжя, Сумщину, Донеччину.",https://t.me/kpszsu/67098
2026-07-02T07:04:50+00:00,kpszsu,67098,область,Донецька,,КАБ,48.0159,37.8029,"Пуски КАБ на Запоріжжя, Сумщину, Донеччину.",https://t.me/kpszsu/67098
2026-07-02T07:49:54+00:00,kpszsu,67104,область,Дніпропетровська,схід,БпЛА|КАБ,48.4647,35.0462,КАБи на південно-східний напрямок Дніпропетровщини.,https://t.me/kpszsu/67104
2026-07-02T08:13:12+00:00,kpszsu,67107,область,Запорізька,,БпЛА|КАБ,47.8388,35.1396,КАБи на Запоріжжя.,https://t.me/kpszsu/67107
2026-07-02T12:12:14+00:00,kpszsu,67117,область,Донецька,,КАБ,48.0159,37.8029,КАБи на Донеччину!,https://t.me/kpszsu/67117
2026-07-02T12:14:12+00:00,kpszsu,67118,область,Сумська,схід,КАБ,50.9077,34.7981,КАБи на схід Сумщини!,https://t.me/kpszsu/67118
2026-07-02T12:17:40+00:00,kpszsu,67120,область,Сумська,,КАБ,50.9077,34.7981,КАБи на Суми!,https://t.me/kpszsu/67120
