channel,id,date,url,views,tags,segment,text
kpszsu,66952,2026-07-01T00:31:03+00:00,https://t.me/kpszsu/66952,143K,КАБ,КАБи на Сумщині,"🚀
КАБи на Сумщині"
kpszsu,66954,2026-07-01T00:47:38+00:00,https://t.me/kpszsu/66954,142K,КАБ,КАБи на Донеччині,"🚀
КАБи на Донеччині"
kpszsu,66956,2026-07-01T01:25:54+00:00,https://t.me/kpszsu/66956,146K,КАБ,КАБи на Запоріжжя,"🚀
КАБи на Запоріжжя"
kpszsu,66957,2026-07-01T02:08:05+00:00,https://t.me/kpszsu/66957,147K,КАБ,Пуски КАБ на Запоріжжя та Донеччину,"🚀
Пуски КАБ на Запоріжжя та Донеччину"
kpszsu,66969,2026-07-01T06:01:07+00:00,https://t.me/kpszsu/66969,148K,КАБ,Пуски КАБ на півночі Сумщини.,"🚀
Пуски КАБ на півночі Сумщини."
kpszsu,66970,2026-07-01T06:20:24+00:00,https://t.me/kpszsu/66970,147K,КАБ,Пуски КАБ на півночі Харківщини.,"🚀
Пуски КАБ на півночі Харківщини."
kpszsu,66975,2026-07-01T08:23:07+00:00,https://t.me/kpszsu/66975,155K,КАБ,КАБи на Донеччину!,"🚀
КАБи на Донеччину!"
kpszsu,66984,2026-07-01T11:58:24+00:00,https://t.me/kpszsu/66984,162K,БпЛА|КАБ,КАБи на північ Харківщини!,"🛵
БпЛА на півночі Сумщини, курс південний.
🛵
БпЛА на півдні Харківщини, курс західний.
🛵
БпЛА в Нікопольському районі Дніпропетровщини, курс північно-західний.
🛵
БпЛА в Первомайському районі Миколаївщини, курс північно-західний.
🛵
БпЛА північніше Чернігова.
🛵
БпЛА на межі Сумщини та Сумщини, курс південний.
🚀
КАБи на північ Харківщини!"
kpszsu,66990,2026-07-01T13:24:19+00:00,https://t.me/kpszsu/66990,168K,КАБ,КАБи на Донеччину!,"🚀
КАБи на Донеччину!"
kpszsu,67005,2026-07-01T18:00:08+00:00,https://t.me/kpszsu/67005,195K,КАБ,КАБи на північ Харківщини!,"🚀
КАБи на північ Харківщини!"
kpszsu,67071,2026-07-02T01:02:03+00:00,https://t.me/kpszsu/67071,170K,КАБ,Пуски КАБ на Сумщину та Донеччину.,"🚀
Пуски КАБ на Сумщину та Донеччину."
kpszsu,67091,2026-07-02T06:03:42+00:00,https://t.me/kpszsu/67091,142K,КАБ,Пуски КАБ на Харківщину зі сходу.,"🚀
Пуски КАБ на Харківщину зі сходу."
kpszsu,67098,2026-07-02T07:04:50+00:00,https://t.me/kpszsu/67098,171K,КАБ,"Пуски КАБ на Запоріжжя, Сумщину, Донеччину.","🚀
Пуски КАБ на Запоріжжя, Сумщину, Донеччину."
kpszsu,67104,2026-07-02T07:49:54+00:00,https://t.me/kpszsu/67104,163K,БпЛА|КАБ,КАБи на південно-східний напрямок Дніпропетровщини.,"🚀
КАБи на південно-східний напрямок Дніпропетровщини.
🛵
БпЛА в напрямку Києва з півночі."
kpszsu,67107,2026-07-02T08:13:12+00:00,https://t.me/kpszsu/67107,156K,БпЛА|КАБ,КАБи на Запоріжжя.,"🚀
КАБи на Запоріжжя.
🛵
Реактивні БпЛА на півночі Чернігівщини, на південно-західний напрямок."
kpszsu,67117,2026-07-02T12:12:14+00:00,https://t.me/kpszsu/67117,144K,КАБ,КАБи на Донеччину!,"🚀
КАБи на Донеччину!"
kpszsu,67118,2026-07-02T12:14:12+00:00,https://t.me/kpszsu/67118,142K,КАБ,КАБи на схід Сумщини!,"🚀
КАБи на схід Сумщини!"
kpszsu,67120,2026-07-02T12:17:40+00:00,https://t.me/kpszsu/67120,134K,КАБ,КАБи на Суми!,"🚀
КАБи на Суми!"
kpszsu,67127,2026-07-02T12:50:35+00:00,https://t.me/kpszsu/67127,128K,КАБ,КАБи на Донеччину!,"🚀
КАБи на Донеччину!"
kpszsu,67128,2026-07-02T12:53:17+00:00,https://t.me/kpszsu/67128,132K,БпЛА|КАБ,КАБи на північний схід Харківщини!,"🛵
Група БпЛА на південь Миколаївщини із акваторії Чорного моря
🚀
КАБи на північний схід Харківщини!"
kpszsu,67134,2026-07-02T13:17:34+00:00,https://t.me/kpszsu/67134,142K,КАБ,КАБи на Запорізьку область!,"🚀
КАБи на Запорізьку область!"
kpszsu,67138,2026-07-02T13:37:12+00:00,https://t.me/kpszsu/67138,151K,БпЛА|КАБ,КАБи на Донеччину!,"🚀
КАБи на Донеччину!
🛵
БпЛА у напрямку Шахтарського на Дніпропетровщині із південного сходу"
