t,channel,post_id,type,value,modifier,tags,lat,lon,text,source
2026-06-30T15:16:33+00:00,kpszsu,66928,область,Дніпропетровська,захід,БпЛА,48.4647,35.0462,"🛵 Реактивний БпЛА на заході Дніпропетровщини, курс північно західний (повз н.п.Широке)",https://t.me/kpszsu/66928
2026-06-30T15:19:22+00:00,kpszsu,66929,область,Дніпропетровська,південь,БпЛА,48.4647,35.0462,🛵 Реактивний БпЛА в напрямку м.Кривий Ріг з півдня.,https://t.me/kpszsu/66929
2026-06-30T15:33:27+00:00,kpszsu,66930,область,Запорізька,схід,БпЛА,47.8388,35.1396,🛵 Реактивний БпЛА в напрямку м.Запоріжжя зі сходу.,https://t.me/kpszsu/66930
2026-06-30T16:01:45+00:00,kpszsu,66931,область,Чернігівська,,БпЛА,51.4982,31.2893,"🛵 БпЛА на Чернігівщині, курс південний (повз н.п.Короп)",https://t.me/kpszsu/66931
2026-06-30T16:29:50+00:00,kpszsu,66932,область,Чернігівська,південь,БпЛА,51.4982,31.2893,"🛵 БпЛА на півдні Чернігівщини, курс на Київщину (Бровари)",https://t.me/kpszsu/66932
2026-06-30T16:29:50+00:00,kpszsu,66932,область,Київська,,БпЛА,50.4501,30.5234,"🛵 БпЛА на півдні Чернігівщини, курс на Київщину (Бровари)",https://t.me/kpszsu/66932
2026-06-30T17:04:12+00:00,kpszsu,66933,область,Сумська,північ,БпЛА,50.9077,34.7981,🛵 БпЛА в напрямку м.Суми з півночі.,https://t.me/kpszsu/66933
2026-06-30T17:24:00+00:00,kpszsu,66934,область,Сумська,,,50.9077,34.7981,🚀 Швидкісна ціль на Шостку.,https://t.me/kpszsu/66934
2026-06-30T17:25:35+00:00,kpszsu,66935,область,Одеська,,ракета,46.4825,30.7233,🚀 Ракета на Одесу,https://t.me/kpszsu/66935
2026-06-30T17:55:48+00:00,kpszsu,66940,область,Чернігівська,,БпЛА,51.4982,31.2893,🛵 Реактивні БпЛА в районі н.п.Мена Чернігівщина та  н.п.Високопілля на Херсонщині.,https://t.me/kpszsu/66940
2026-06-30T17:55:48+00:00,kpszsu,66940,область,Херсонська,,БпЛА,46.6354,32.6169,🛵 Реактивні БпЛА в районі н.п.Мена Чернігівщина та  н.п.Високопілля на Херсонщині.,https://t.me/kpszsu/66940
2026-06-30T18:23:33+00:00,kpszsu,66942,область,Сумська,,КАБ,50.9077,34.7981,КАБи на Сумщині та Донеччині.,https://t.me/kpszsu/66942
2026-06-30T18:23:33+00:00,kpszsu,66942,область,Донецька,,КАБ,48.0159,37.8029,КАБи на Сумщині та Донеччині.,https://t.me/kpszsu/66942
2026-06-30T19:19:25+00:00,kpszsu,66944,область,Миколаївська,,ракета,46.975,31.9946,🚀 Ракета на Миколаївщині,https://t.me/kpszsu/66944
2026-06-30T20:55:37+00:00,kpszsu,66946,область,Сумська,північ,БпЛА,50.9077,34.7981,🛵 БпЛА курсом на м.Суми з півночі.,https://t.me/kpszsu/66946
2026-06-30T22:39:50+00:00,kpszsu,66947,область,Чернігівська,схід,БпЛА,51.4982,31.2893,"🛵 БпЛА на сході Чернігівщини, курс південний (повз н.п.Борзна)",https://t.me/kpszsu/66947
2026-06-30T22:42:04+00:00,kpszsu,66948,область,Полтавська,,БпЛА,49.5883,34.5514,"🛵 БпЛА на Полтавщині, курс повз м.Полтава на захід. 🛵 БпЛА в напрямку м.Запоріжжя зі сходу.",https://t.me/kpszsu/66948
2026-06-30T22:42:04+00:00,kpszsu,66948,область,Полтавська,захід,БпЛА,49.5883,34.5514,"🛵 БпЛА на Полтавщині, курс повз м.Полтава на захід. 🛵 БпЛА в напрямку м.Запоріжжя зі сходу.",https://t.me/kpszsu/66948
2026-06-30T22:42:04+00:00,kpszsu,66948,область,Запорізька,захід,БпЛА,47.8388,35.1396,"🛵 БпЛА на Полтавщині, курс повз м.Полтава на захід. 🛵 БпЛА в напрямку м.Запоріжжя зі сходу.",https://t.me/kpszsu/66948
2026-06-30T22:54:56+00:00,kpszsu,66949,область,Дніпропетровська,південь,БпЛА,48.4647,35.0462,🛵 БпЛА в напрямку м.Дніпро з півдня.,https://t.me/kpszsu/66949
2026-06-30T22:56:21+00:00,kpszsu,66950,область,Полтавська,,БпЛА,49.5883,34.5514,"🛵 БпЛА на Полтавщині, курс західний повз н.п.Машівка",https://t.me/kpszsu/66950
2026-07-01T00:31:03+00:00,kpszsu,66952,область,Сумська,,КАБ,50.9077,34.7981,КАБи на Сумщині,https://t.me/kpszsu/66952
2026-07-01T00:32:01+00:00,kpszsu,66953,область,Дніпропетровська,північ,БпЛА,48.4647,35.0462,🛵 БпЛА в напрямку м.Дніпро з півночі.,https://t.me/kpszsu/66953
2026-07-01T00:47:38+00:00,kpszsu,66954,область,Донецька,,КАБ,48.0159,37.8029,КАБи на Донеччині,https://t.me/kpszsu/66954
2026-07-01T01:25:31+00:00,kpszsu,66955,область,Сумська,,БпЛА,50.9077,34.7981,"🛵 БпЛА в на Сумщині, в районі н.п. Ромни, Глухів",https://t.me/kpszsu/66955
2026-07-01T01:25:54+00:00,kpszsu,66956,область,Запорізька,,КАБ,47.8388,35.1396,КАБи на Запоріжжя,https://t.me/kpszsu/66956
2026-07-01T02:08:05+00:00,kpszsu,66957,область,Запорізька,,КАБ,47.8388,35.1396,Пуски КАБ на Запоріжжя та Донеччину,https://t.me/kpszsu/66957
2026-07-01T02:08:05+00:00,kpszsu,66957,область,Донецька,,КАБ,48.0159,37.8029,Пуски КАБ на Запоріжжя та Донеччину,https://t.me/kpszsu/66957
2026-07-01T02:10:34+00:00,kpszsu,66958,область,Херсонська,,БпЛА,46.6354,32.6169,"🛵 Реактивні БпЛА на Херсонщині, курсом на Миколаївщину  (н.п. Снігурівка)",https://t.me/kpszsu/66958
2026-07-01T02:10:34+00:00,kpszsu,66958,область,Миколаївська,,БпЛА,46.975,31.9946,"🛵 Реактивні БпЛА на Херсонщині, курсом на Миколаївщину  (н.п. Снігурівка)",https://t.me/kpszsu/66958
2026-07-01T04:05:55+00:00,kpszsu,66959,область,Сумська,північ,БпЛА,50.9077,34.7981,"🛵 БпЛА на півночі Сумщини, курс південно-західний.",https://t.me/kpszsu/66959
